nim,first_name,last_name,prodi
1301222385,Margaret,Caddell,TI
1301222862,Roshelle,Scolland,RPL
1301225666,Loutitia,Erb,DS
1301223057,Wendell,Desouza,IF
1301224205,Gillan,Ebi,IF
1301223857,Innis,Gylle,IF
1301223145,Eleonora,Osinin,RPL
1301229579,Port,Wotherspoon,RPL
1301222888,Amalea,Linnett,RPL
1301223621,Koralle,Dmitrienko,IF
1301224608,Thorstein,Ellingham,TI
1301229451,Meriel,McCrow,RPL
1301221300,Elisha,Rekes,DS
1301229083,Jeramie,Wiggans,IF
1301228553,Moe,Seedhouse,TI
1301221894,Henryetta,Issac,IF
1301221629,Priscella,Mapstone,DS
1301223335,Floyd,Alsop,DS
1301223973,Neville,Gyver,DS
1301220218,Jewel,Duesbury,RPL
1301229153,Cayla,Chiplen,RPL
1301229716,Ilaire,Sokill,IF
1301226793,Baldwin,Roggero,DS
1301223359,Hermie,Davitashvili,IF
1301224788,Bonita,Weiser,IF
1301222346,Merrel,Arndell,IF
1301223973,Alasteir,Havis,RPL
1301224939,Iver,Tilt,TI
1301223612,Chane,O'Cullinane,RPL
1301221800,Miriam,Rigardeau,IF
1301225598,Filmer,Barkhouse,IF
1301226958,Janice,Luby,DS
1301223365,Griffith,Sproson,DS
1301226888,Trudi,Giron,IF
1301220383,Arnold,GiacobbiniJacob,IF
1301221133,Hillary,Rudgard,DS
1301225816,Charlotta,Paolicchi,TI
1301227353,Dexter,Andreuzzi,IF
1301228920,Silvanus,McCahill,RPL
1301222948,Jesse,Byneth,IF
1301227553,Amalie,Dootson,IF
1301221860,Bethena,Krikorian,TI
1301228056,Hendrick,Kuban,DS
1301226989,Judi,Abrami,RPL
1301224728,Lucinda,Perree,IF
1301226955,Ansell,Thorington,TI
1301228578,Lil,Ponter,DS
1301221309,Ivar,Bianco,TI
1301226116,Bendix,Moakson,RPL
1301223137,Sibley,MacSharry,RPL
1301221417,Claresta,Haddinton,DS
1301229381,Teodoro,Jahnig,TI
1301229676,Ricki,Drains,DS
1301229787,Tonnie,Lythgoe,RPL
1301228722,Floria,Theuss,IF
1301225707,Brion,Bland,IF
1301224990,Erek,Hakes,IF
1301222821,Johnny,Pichmann,IF
1301221981,Karon,MacKill,DS
1301224241,Francklyn,Dumper,TI
1301223863,Veronike,Bridat,DS
1301224506,Hillery,Aldie,DS
1301223602,Muffin,Tudor,TI
1301225311,Patin,Candlish,RPL
1301221292,Bethany,Tort,TI
1301224507,Winifield,Kidde,RPL
1301222227,Roselle,Greatland,RPL
1301228842,Sheela,Crunkhorn,DS
1301224594,Didi,Sawtell,RPL
1301224953,Ingeborg,Pasmore,TI
1301229675,Michelle,Barok,RPL
1301221512,Dalton,Enderwick,IF
1301229313,Neal,Divisek,TI
1301228506,Redford,Guerrero,DS
1301229117,Petronille,Swyer,DS
1301226186,Brockie,Walczak,DS
1301224106,Alexandre,Marcos,IF
1301221123,Weston,Cordelet,DS
1301222941,Ruggiero,Curmi,DS
1301229432,Orazio,Niese,DS
1301228565,Bronnie,Rayer,DS
1301221505,Abbot,Ginni,DS
1301224030,Rosamond,Lamming,RPL
1301227507,Shina,Tregian,IF
1301225457,Giovanna,Bake,RPL
1301229593,Allan,Panketh,IF
1301228739,Golda,Wheatley,DS
1301227230,Stanley,Gayton,DS
1301229437,Bonni,Gidley,DS
1301229823,Padgett,Grimmolby,IF
1301224090,Gabe,Mont,RPL
1301224775,Elberta,Currey,RPL
1301227585,Caren,Davidesco,RPL
1301221884,Emmalynn,Wolfarth,RPL
1301227297,Forrester,McCrainor,TI
1301221320,Angy,Abrahami,TI
1301224305,Forrester,Buckie,RPL
1301229725,Sandie,Tewes,DS
1301227337,Ronni,Clorley,TI
1301223425,Bryce,Ollivier,IF
1301226253,Haskell,Paschke,DS
1301226526,Madlen,McMillan,IF
1301221617,Rodolfo,Skamal,IF
1301222368,Linell,Yard,TI
1301220729,Lulu,Langland,IF
1301229296,Kendall,MacGeaney,TI
1301222604,Steffen,Brockman,RPL
1301220677,Calhoun,Boatright,TI
1301228706,Vic,Proswell,RPL
1301223993,Wayland,Lusgdin,TI
1301227908,Channa,Glazyer,DS
1301222771,Melvin,Stockin,DS
1301220913,Cash,McBain,TI
1301220232,Eleonora,Canner,TI
1301223513,Julie,Matthewson,RPL
1301226166,Jehanna,Della Scala,TI
1301222729,Jackelyn,Lownes,IF
1301221104,Emera,Biesterfeld,IF
1301224738,Clarey,Debow,DS
1301221490,Willard,Poag,TI
1301221906,Ashleigh,Narup,IF
1301225904,Jayne,Lahive,IF
1301222358,Caresse,Offner,DS
1301228984,Jermaine,Figgen,IF
1301226225,Robinet,Southcoat,TI
1301225322,Rouvin,Milmore,RPL
1301229020,Lurette,Culbard,TI
1301223911,Gabrielle,Bugler,IF
1301223990,Clarita,Penke,IF
1301226983,Ki,Leaton,RPL
1301227389,Harley,Dunkley,TI
1301221068,Donni,Etienne,RPL
1301224663,Reena,Doiley,TI
